"In the basic performance equation $T = \frac{N \times S}{R}$, what does the variable 'S' represent?",The average number of basic steps (clock cycles) needed to execute one instruction.
"In the basic performance equation $T = \frac{N \times S}{R}$, what does the variable 'R' represent?",The clock rate of the processor (in cycles per second).
Represent the 32-bit integer `20406080H` in Little-endian byte order.,"`80h`, `60h`, `40h`, `20h`."
"Represent the 32-bit integer `12345678h` in Big-endian byte order, starting at address 0.","Address 0: `12`, Address 1: `34`, Address 2: `56`, Address 3: `78`."
What will be the state of the Zero (Z) flag after adding `0FH` and `F0H`?,"Z=0, because the result (`FFH`) is not zero."
What will be the state of the Sign/Negative (N) flag after adding `0FH` and `F0H`?,"N=1, because the most significant bit of the result (`1111 1111`) is 1."
"What is the effective address (EA) for the instruction `STORE R3, 50(R1,R2)` if R1=3500 and R2=2800?",EA = 50 + [R1] + [R2] = 50 + 3500 + 2800 = 6350.
"What is the effective address (EA) for the memory operand in the instruction `ADD -(R1),R5`, assuming R1=3500 and a 32-bit word length?",EA = [R1] - 4 = 3500 - 4 = 3496. (The address is calculated before the memory access).
A processor has 40 distinct instructions and 24 general-purpose registers. What is the minimum number of bits required for the opcode field?,"6 bits, because $2^5=32$ (too small) and $2^6=64$ (sufficient)."
A processor has 24 general-purpose registers. How many bits are required to specify one register operand?,"5 bits, because $2^4=16$ (too small) and $2^5=32$ (sufficient)."
What is the addressing function for the `Immediate` addressing mode?,The Operand is the Value given in the instruction.
"What is the addressing function for the `Register` addressing mode (e.g., `MOV R1,R0`)?","EA = Ri (The effective address is the register itself, so the operand is in the register)."
"What is the addressing function for the `Absolute (Direct)` addressing mode (e.g., `MOV SUM,R2`)?",EA = LOC (The effective address is the memory location specified).
"What is the addressing function for the `Indirect` addressing mode (e.g., `ADD (R2),R0`)?",EA = [Ri] (The effective address is the value stored in the register).
"What is the addressing function for the `Index` addressing mode (e.g., `MOV 4(R2),R0`)?",EA = [Ri] + X (The effective address is the sum of the contents of the index register and a constant offset X).
"What is the addressing function for the `Base with index` addressing mode (e.g., `ADD (R0,R1),R2`)?",EA = [Ri] + [Rj] (The effective address is the sum of the contents of two registers).
"What is the addressing function for the `Relative` addressing mode (e.g., `BNE LOOP`)?",EA = [PC] + X (The effective address is the sum of the program counter's contents and a constant offset).
"In `Autoincrement` addressing mode, such as `ADD (R2)+, R0`, when is the register incremented?",After its contents are used as the effective address.
"In `Autodecrement` addressing mode, such as `ADD -(R2), R0`, when is the register decremented?",Before its contents are used as the effective address.
